No,Kategori/Modul,Skenario Uji (Test Case),Langkah-langkah (Steps),Expected Result (Hasil yang Diharapkan),Status (Pass/Fail),Catatan Tambahan
1,Autentikasi,Registrasi Pengguna Baru,"1. Isi form register dengan data valid. 2. Klik Daftar.",Arahkan ke profil/home dan user tersimpan di DB.,,
2,Autentikasi,Registrasi dengan Email Ganda,"1. Isi form dengan email yang sudah ada. 2. Klik Daftar.",Pesan error validasi ""Email sudah digunakan"" muncul.,,
3,Autentikasi,Login Kredensial Valid,"1. Isi form login dengan email & sandi yang tepat. 2. Klik Masuk.",Masuk ke halaman utama (home) dengan status terautentikasi.,,
4,Autentikasi,Forgot Password,"1. Klik lupas sandi. 2. Masukkan email. 3. Cek inbox.",Email berisi tautan reset sandi terkirim ke klien.,,
5,Katalog & Pencarian,Tampil Daftar Produk,1. Buka halaman Katalog/Produk.,Menampilkan sel grid produk yang berjalan (paginate).,,
6,Katalog & Pencarian,Fungsi Filter Kategori,"1. Klik salah satu tab kategori di katalog.",Hanya produk dari kategori terpilih yang muncul.,,
7,Katalog & Pencarian,Fungsi Pencarian (Search),"1. Ketik nama produk di kotak pencarian ""Kopi"".",Produk dengan keyword ""Kopi"" muncul di hasil.,,
8,Katalog & Pencarian,Fungsi Sorting (Urutkan),"1. Pilih urutkan: ""Termurah"" atau ""Terbaru"".",Urutan grid produk berubah sesuai filter tanpa error.,,
9,Detail Produk,Pemilihan Varian & Harga,"1. Buka produk bermacam varian. 2. Ganti varian.",Harga otomatis berubah mengikuti varian yang dipilih.,,
10,Detail Produk,Label Stok Habis (Out of Stock),"1. Buka produk dengan stok 0.",Tombol add to cart mati dan label ""Habis"" muncul.,,
11,Keranjang Belanja,Tambah Produk ke Cart,"1. Klik 'Tambah ke Keranjang' pada detail produk.",Modal sukses muncul dan ikon Cart di navbar bertambah 1.,,
12,Keranjang Belanja,Tambah Melebihi Stok,"1. Set kuantitas > sisa stok. 2. Tambah ke cart.",Aksi tertolak (limit button max pada alpineJS aktif).,,
13,Keranjang Belanja,Hapus Item di Cart,"1. Masuk keranjang. 2. Klik ikon/tong sampah pada item.",Item hilang dari list dan Subtotal berkurang real-time.,,
14,Checkout - Alamat,Auto-deteksi Lokasi (Nominatim),"1. Saat tambah alamat klik ikon lokasi.",Otomatis mendapat lat/long dan mengisi Kota/Kecamatan.,,
15,Checkout - Alamat,Validasi Form Alamat,"1. Kosongkan nomor telp / nama. 2. Simpan.",Muncul merah validasi wajib diisi.,,
16,Checkout - Pengiriman,Cek Ongkir Cerdas (Biteship),"1. Pilih alamat terpilih.",Muncul daftar kurir dari API (JNE/JNT) dengan harganya.,,
17,Checkout - Pengiriman,Rumus Fallback Haversine,"1. Simulasikan saldo API habis. 2. Refresh ongkir.",Sistem mem-bypass API dan menghitung jarak KM untuk biaya pengiriman flat.,,
18,Checkout - Voucher,Simulasikan Kode Promo Valid,"1. Masukan kode JVS20. 2. Terapkan.",Subtotal terpotong diskon dengan persentase benar.,,
19,Checkout - Pembayaran,Submit Pesanan awal,"1. Pastikan alamat & kurir terpilih. 2. Klik Checkout.",Data masuk DB. Diarahkan ke halaman pilihan bayar Midtrans/COD.,,
20,Checkout - Midtrans,Proses Pembayaran (Snap),"1. Pilih metode QRIS/E-Wallet Midtrans. 2. Bayar lunas.",Muncul pemberitahuan berhasil dan dialihkan ke Sukses.,,
21,Checkout - Midtrans,Update Otomatis via Webhook,"1. Jangan refresh web. 2. Proses bayar diselesaikan eksternal.",Webhook Midtrans menyentuh server; status pesanan jadi ""Diproses"" otomatis.,,
22,Riwayat Belanja,Status Pesanan Aktif,"1. Masuk menu Akun > Pesanan.",Pesanan yang baru dibayar muncul dengan label 'Diproses'.,,
23,Riwayat Belanja,Tandai Selesai (Admin),"1. Buka Filament Admin. 2. Ubah baris jadi ""Dikirim"" lalu ""Selesai"".",Status terganti. Pesanan pindah ke status Selesai.,,
24,Riwayat Belanja,Beri Ulasan Produk,"1. Klik Beli Ulasan di pesanan 'Selesai'. 2. Rate 5 bintang.",Ulasan tersimpan ke database & tidak bisa review ganda.,,
25,Hapus Akun / Alamat,Relasi Penghapusan Alamat,"1. Hapus alamat yang terikat ke pesanan lama.",Beri error 'digunakan' / tidak merusak arsip pesanan historis.,,
26,Admin Filament,Pembuatan Produk Baru,"1. Isi nama produk. 2. Unggah gambar. 3. Buat varian.",Penyimpanan berhasil tanpa merusak layout store front.,,
27,Admin Filament,Tombol Tabel Aksi Status,"1. Pada OrderResource tes Konfirmasi Bayar.",Status Order berubah tanpa perlu masuk ke view detail.,,
28,Keamanan Umum,Proteksi Rute,1. Kunjungi /checkout tanpa login.,Sistem otomatis mendepak pengguna menuju halaman login.,,
29,Keamanan Umum,Injeksi XSS,1. Beri ulasan menggunakan sisipan tag <script>.,Sistem meng-escape script menjadi teks biasa di front-end.,,
30,Performa,Responsivitas (Mobile),"1. Buka situs di ukuran < 768px (Mobile view).",Burger menu muncul; keranjang dan katalog sejajar rapi.,,
